|------------|------------------|------------|------------------|-----------------------------|---------|
| waybill    | binID1           | t2         | CONSOLIDATEDBIN  | dateOrderBinned             | country |
|------------|------------------|------------|------------------|-----------------------------|---------|
| 1463168405 | BI01FPIN00005723 | 6058427712 | BI01FPIN00005744 | 2025-07-04 13:54:21.9933333 | ZM      |
|------------|------------------|------------|------------------|-----------------------------|---------|
| 1141774804 | BI01FPIN00005731 | 6058427712 | BI01FPIN00005744 | 2025-07-04 14:44:20.9966667 | ZM      |
|------------|------------------|------------|------------------|-----------------------------|---------|
| 3391085526 | BI01FPIN00006061 | 2659042632 | BI01FPIN00006094 | 2025-07-11 08:01:01.9966667 | ZM      |
|------------|------------------|------------|------------------|-----------------------------|---------|
| 6879202573 | BI01FPIN00006062 | 2659042632 | BI01FPIN00006094 | 2025-07-11 08:04:16.9933333 | ZM      |
|------------|------------------|------------|------------------|-----------------------------|---------|
| 6879204124 | BI01FPIN00006063 | 2659042632 | BI01FPIN00006094 | 2025-07-11 08:06:19.0000000 | ZM      |
|------------|------------------|------------|------------------|-----------------------------|---------|
| 3391112384 | BI01FPIN00006064 | 2659042632 | BI01FPIN00006094 | 2025-07-11 08:08:22.0000000 | ZM      |
|------------|------------------|------------|------------------|-----------------------------|---------|
| 3391112465 | BI01FPIN00006065 | 2659042632 | BI01FPIN00006094 | 2025-07-11 08:10:11.9933333 | ZM      |
|------------|------------------|------------|------------------|-----------------------------|---------|
| 6879217855 | BI01FPIN00006066 | 2659042632 | BI01FPIN00006094 | 2025-07-11 08:12:45.9933333 | ZM      |
|------------|------------------|------------|------------------|-----------------------------|---------|
| 6879217914 | BI01FPIN00006067 | 2659042632 | BI01FPIN00006094 | 2025-07-11 08:14:27.9966667 | ZM      |
|------------|------------------|------------|------------------|-----------------------------|---------|
| 3391127902 | BI01FPIN00006068 | 2659042632 | BI01FPIN00006094 | 2025-07-11 08:16:38.9966667 | ZM      |
|------------|------------------|------------|------------------|-----------------------------|---------|
| 3391127294 | BI01FPIN00006069 | 2659042632 | BI01FPIN00006094 | 2025-07-11 08:18:39.9933333 | ZM      |
|------------|------------------|------------|------------------|-----------------------------|---------|
| 6879231435 | BI01FPIN00006070 | 2659042632 | BI01FPIN00006094 | 2025-07-11 08:20:43.9933333 | ZM      |
|------------|------------------|------------|------------------|-----------------------------|---------|
| 3391127364 | BI01FPIN00006071 | 2659042632 | BI01FPIN00006094 | 2025-07-11 08:22:39.0000000 | ZM      |
|------------|------------------|------------|------------------|-----------------------------|---------|
| 6879241762 | BI01FPIN00006072 | 2659042632 | BI01FPIN00006094 | 2025-07-11 08:24:47.9966667 | ZM      |
|------------|------------------|------------|------------------|-----------------------------|---------|
| 6879241821 | BI01FPIN00006073 | 2659042632 | BI01FPIN00006094 | 2025-07-11 08:26:24.9966667 | ZM      |
|------------|------------------|------------|------------------|-----------------------------|---------|
| 8997602972 | BI01FPIN00006327 | 9872544253 | BI01FPIN00006359 | 2025-07-16 09:07:36.9966667 | ZM      |
|------------|------------------|------------|------------------|-----------------------------|---------|
| 3757077914 | BI01FPIN00006328 | 9872544253 | BI01FPIN00006359 | 2025-07-16 09:10:21.0000000 | ZM      |
|------------|------------------|------------|------------------|-----------------------------|---------|
| 5984721945 | BI01FPIN00006329 | 9872544253 | BI01FPIN00006359 | 2025-07-16 09:12:34.9966667 | ZM      |
|------------|------------------|------------|------------------|-----------------------------|---------|
| 8997643200 | BI01FPIN00006330 | 9872544253 | BI01FPIN00006359 | 2025-07-16 09:17:17.9933333 | ZM      |
|------------|------------------|------------|------------------|-----------------------------|---------|
| 8997643325 | BI01FPIN00006331 | 9872544253 | BI01FPIN00006359 | 2025-07-16 09:18:35.9933333 | ZM      |
|------------|------------------|------------|------------------|-----------------------------|---------|
| 8997643395 | BI01FPIN00006332 | 9872544253 | BI01FPIN00006359 | 2025-07-16 09:21:43.9933333 | ZM      |
|------------|------------------|------------|------------------|-----------------------------|---------|
| 8997645576 | BI01FPIN00006333 | 9872544253 | BI01FPIN00006359 | 2025-07-16 09:23:36.9933333 | ZM      |
|------------|------------------|------------|------------------|-----------------------------|---------|
| 3414843246 | BI01FPIN00007282 | 6764187695 | BI01FPIN00007287 | 2025-08-05 14:36:10.9966667 | ZW      |
|------------|------------------|------------|------------------|-----------------------------|---------|
| 6203199435 | BI01FPIN00010040 | 6203221990 | BI01FPIN00009984 | 2025-09-25 16:11:06.9933333 | ZW      |
|------------|------------------|------------|------------------|-----------------------------|---------|
| 5983942930 | BI01FSTS00007008 |            |                  | 2025-09-26 09:07:40.9966667 | MW      |
|------------|------------------|------------|------------------|-----------------------------|---------|
| 6849677192 | BI01FSTS00009038 |            |                  | 2025-10-21 09:56:34.0000000 | GH      |
|------------|------------------|------------|------------------|-----------------------------|---------|
| 9516030204 | BI01FSTS00009344 |            |                  | 2025-11-07 14:22:50.0000000 | BW      |
|------------|------------------|------------|------------------|-----------------------------|---------|
| 3394354762 | BI01FTES00000014 |            |                  | 2025-11-22 18:27:12.9933333 | ZW      |
|------------|------------------|------------|------------------|-----------------------------|---------|
